224,128,48
48,240,64
88,48,248
72,32,40
160,64,168
176,64,240
88,216,40
160,80,248
104,120,200
224,72,224
24,144,200
200,88,80
104,176,96
0,64,64
80,240,248
144,24,24
184,64,152
168,240,216
128,120,240
8,208,0
16,216,232
16,56,208
80,168,88
184,104,216
104,168,40
8,24,128
0,112,192
40,80,0
144,32,136
208,224,136
112,248,144
160,56,232
24,216,40
176,48,216
248,216,32
224,96,200
8,32,184
144,128,160
184,24,96
176,96,216
8,64,192
16,232,112
216,8,192
32,112,248
56,16,192
128,152,176
144,48,248
56,192,192
184,152,128
0,160,48
232,40,40
176,224,80
136,160,136
160,120,40
56,24,128
16,216,80
176,96,232
104,200,240
208,152,16
80,72,240
152,48,160
208,88,40
16,40,184
160,56,128
72,136,80
248,72,0
136,224,152
88,232,104
0,8,144
48,24,112
32,232,144
104,48,0
208,88,88
200,112,0
0,216,232
192,8,120
240,48,248
144,224,144
96,168,16
40,136,192
40,216,112
120,248,96
232,56,112
136,248,136
48,144,152
24,208,224
88,200,216
232,64,120
176,128,160
128,96,144
16,248,232
152,232,192
136,104,248
176,112,224
112,136,152
224,32,128
184,184,32
136,128,56
128,16,168
144,88,200
232,96,16
160,40,40
72,88,224
232,40,48
48,176,0
8,216,224
0,72,80
240,240,216
248,0,184
192,56,112
224,40,216
232,232,104
232,104,112
152,136,240
0,248,160
160,200,208
120,16,40
232,224,128
184,56,160
136,224,112
248,192,200
168,144,184
160,48,128
32,24,128
8,80,208
232,72,240
64,120,112
152,176,8
200,224,176
192,32,184
240,240,24
200,176,0
152,64,128
8,64,8
88,48,248
16,152,16
208,32,152
88,136,88
216,240,64
192,240,104
224,40,128
192,200,184
136,56,112
56,136,80
120,56,96
56,224,88
120,40,192
104,152,192
0,208,80
216,16,176
160,216,224
136,96,112
80,144,224
32,24,112
168,24,152
40,248,40
16,224,192
96,8,120
96,176,88
40,200,32
80,224,128
184,136,80
176,208,216
48,160,208
64,48,88
16,80,112
248,160,64
64,168,208
224,80,96
152,96,16
96,40,136
248,184,224
48,56,120
152,240,192
104,40,128
80,224,200
240,64,144
176,88,176
160,16,176
152,176,104
192,88,40
72,224,248
48,136,192
8,248,88
128,128,80
184,128,72
144,8,176
112,80,200
0,224,208
104,40,224
240,144,24
48,0,104
16,128,112
16,208,32
40,0,48
168,144,40
136,232,96
72,80,152
176,80,184
184,32,216
112,152,72
88,200,208
216,176,168
144,224,136
56,72,160
208,80,56
240,80,136
152,80,224
0,208,48
24,208,152
48,112,216
160,0,184
224,224,200
48,120,48
152,152,184
88,40,216
88,216,72
32,208,200
160,8,96
16,240,160
160,112,24
136,152,168
64,0,112
88,64,232
64,24,224
32,120,32
144,24,96
88,248,72
224,240,104
56,240,216
24,208,0
192,232,128
40,152,232
168,32,80
16,144,8
24,112,48
96,88,224
200,24,200
216,64,184
144,72,208
216,40,80
224,64,16
56,96,40
224,24,248
240,232,144
88,144,112
64,136,0
64,168,184
152,8,184
160,184,232
40,152,0
32,8,80
80,8,32
48,136,200
200,88,144
120,176,0
200,8,184
8,176,176
224,240,136
168,40,176
112,64,48
48,160,8
40,80,224
120,112,8
40,200,8
56,64,120
200,128,80
16,136,16
160,80,64
16,208,160
88,72,104
232,248,216
56,160,40
32,72,184
32,232,240
160,96,168
24,8,112
136,80,232
240,216,112
152,64,48
216,224,136
16,136,176
176,184,40
96,64,24
160,200,168
40,0,192
0,56,72
200,8,160
48,224,184
